"Men","الرجال"
"MEN","الرجال"
"men","الرجال"
"women",نساء"
"Women",نساء"
"WOMEN",نساء"
"Clothing","ملابس"
"CLOTHING","ملابس"
"Sort By","ترتيب حسب"
"SORT BY","ترتيب حسب"
"ACCESSORIES","ملحقات"
"Accessories","ملحقات"
"Caps","قبعات"
"CAPS","قبعات"
"caps","قبعات"
"The Crazy Ones","المجانين"
"COLLECTIONS","مختارات"
"Collections","مجموعات"
"DESIGN YOUR OWN","التصميم الخاص بك"
"Design Your Own","تصميم بنفسك"
"DESIGN CATEGORIES","تصميم الفئات"
"Design Category","تصميم الفئة"
"TShirt","تي شيرت"
"T Shirt","تي شيرت"
"T-Shirt","تي شيرت"
"TSHIRT","تي شيرت"
"Tank Top","دبابات الأعلى"
"Polo","بولو"
"Trending","تتجه"
"TRENDING","تتجه"
"Best Seller","الأكثر مبيعًا"
"BEST SELLER","الأكثر مبيعًا"
"Best Sellers","الأكثر مبيعًا"
"New","جديد"
"NEW","جديد"
"Cases","الحالات"
"Notebooks","دفاتر"
"Mesh Caps","شبكة قبعات"
"Snap backs"."القبعات المسطحة"
"Snap Backs"."القبعات المسطحة"
" Snap Backs"."اظهورهم المفاجئة"
"SNAP BACKS"."القبعات المسطحة"
"Featured","متميز"
" In stock","في المخزن"
"In stock","في المخزن"
"Quantity","كمية"
"Caps","الكتابة بالأحرف الكبيرة"
"Subscribe and get <big>20%</big> OFF on your first purchase","اشترك واحصل على خصم <big>%20</big> عند أول شراء"
"Email","البريد الالكتروني"
"GET MY 20% OFF NOW","الحصول على خصم 20% الآن"
"Don’t show this popup again","لا تظهر هذه الرسائل مرة أخرى"
"Home","الصفحة الرئيسية"
"HOME","الصفحة الرئيسية"
"ACCESSORIES","الاكسسوارات"
"COLLECTIONS","المجموعات"
"DESIGN YOUR OWN","صمم المنتج الخاص بك"
"LOGIN","تسجيل الدخول"
"T-Shirt","قميص"
"NOTEBOOKS","دفاتر الملاحظات"
"Notebooks","دفاتر الملاحظات"
"notebooks","دفاتر الملاحظات"
"POLO SHIRTS","قميص بولو"
"If you can Create, you can CREO","إذا بإمكانك الإبداع فبإمكانك استخدام CREO"
"Read on, and discover why CREO is more than a marketplace, and why the people are more essential than the product","القراءة واكتشاف سبب كون CREO أكثر من مجرد موقع للتسوّق، وسبب أهمية العملاء أكثر من المنتج"
"What is CREO?","ما هو CREO؟"
"CREO on a Mission","CREO في مهمة"
"THE CREO STORY","قصة CREO"
"CREO PEOPLE","أسرة CREO"
"CREO At Work","CREO في العمل"
"Customer Service","خدمة العملاء"
"FAQ","الأسئلة الأكثر شيوعاً"
"SHIPPING","الشحن"
"SHIP TO ADDRESS","السفينة إلى عنوان"
"Bulk Orders","طلبات بالجملة"
"Return Policy","سياسة الإرجاع"
"Payment Method","طريقة الدفع"
"PRIVACY POLICY","سياسة الخصوصية"
"TERMS & CONDITIONS","الشروط والأحكام"
"Account","الحساب"
"YOUR ACCOUNT","حسابك"
"WISHLIST","قائمة المنتجات المفضلة"
"CHECKOUT","الدفع عند الخروج"
"Track your order","تتبع طلبك"
"Track Shipment","تتبع الشحن"
"about us","حول الشركة"
"CONTACT US","اتصل بنا"
"CUSTOMER SERVICE","خدمة العملاء"
"Payment Methods","طرق الدفع"
"JOIN","انضم الينا"
"MY CART","عربتي"
"My Cart","عربتي"
"my cart","عربتي"
"search entire store he","ابحث في كامل المتجر"
"Featured","متميز"
"Trending","الأكثر انتشاراً"
"Best Seller","الأكثر مبيعاً"
"NEW","جديد"
"Men","رجال"
"TShirt","قميص"
"Women","نساء"
"Tank Top","قميص بلا أكمام"
"Polo","بولو"
"Polo Color","بولو اللون"
"Print Color","طباعة اللون"
"New Collection","مجموعة جديدة"
"Search By Design","ابحث باستخدام التصميم"
"View All","أظهر الكل"
"Barcode","شيفرة التعريف( باركود)"
"Brands","العلامات التجارية"
"Bikers","سائقو الدراجات"
"Beach","شاطئ"
"Beard","لحية"
"Pug Life","أسلوب حياة الشخص السعيد"
"Retro/Boho","رجعي/ بوهيمي"
"X City Love","حب مدينة X"
"All designs are available on Round Neck T-Shirt, V Neck T-Shirt and Tank Tops.","تتوفر جميع التصميمات بقمصان ذات ياقات دائرية وياقات على شكل حرف V وقمصان بلا أكمام"
"Phone Model","موديل الهاتف"
"Cases","حالات"
"Leather","الجلد"
"Wood","الخشب"
"Notebook Material","مادة دفتر الملاحظات"
"Mesh Caps","قبعات شبكية"
"Mesh Color","شبكة اللون"
"Snap Backs","قبعة بيسبول"
"Arabic","عربي"
"Bring The Boom","كن مختلفاً"
"Flags","أعلام"
"I Represent","أنا أمثل"
"Ocean of Emotions","محيط العواطف"
"Gender","الجنس"
"Mustache","شارب"
"Glasses","نظارات"
"LIPS","الشفاه"
"Super Heroes","أبطال خارقون"
"City","المدينة"
"Celebrity Hush","أخبار المشاهير"
"Love","حب"
"Quotes","اقتباسات"
"COCO Skulls","جماجم COCO"
"Majnoon","مجنون"
"Trendy","شائع"
"Save Your Design","حفظ التصميم الخاص بك"
"Name Your Design","اسم التصميم الخاص بك"
"Note","ملاحظة"
"Enter your design name","أدخل اسم التصميم الخاص بك"
"Your comment notes","الملاحظات تعليقك"
"30 characters max","30 حرفا كحد أقصى"
"Save Design","حفظ التصميم"
"Save for later use","حفظ لاستخدامها لاحقا"
"reviews","استعراض"
"Ship to same address","السفينة إلى نفس العنوان"
"Ship To","سافر على متن سفينة لِـ"
"ADDRESS BOOK","دفتر عناوين"
"You are currently not subscribed to any newsletter.","تقوم حاليا بعدم الاشتراك في أي نشرة."
"No, Thanks. I will do it later","لا شكرا. انا سوف اقوم بها لاحقا"
"Review your design and continue","مراجعة التصميم الخاص بك ومتابعة"
"Please login to save your design to your account page. Just press SAVE DESIGN button after logged in.","الرجاء تسجيل الدخول لحفظ التصميم الخاص بك إلى صفحة الحساب الخاص بك. فقط اضغط على زر حفظ التصميم بعد دخولك."
"Click here to login or Create an account","اضغط هنا للدخول أو إنشاء حساب"
"Click <a href="%s">here</a> to continue shopping.","انقر <a href="%s">هنا</a> لمتابعة التسوق."
"Click ","انقر"
"here","هنا"
" to continue shopping.","لمتابعة التسوق."
"CALCULATE ARTWORK:","حساب عمل فني:"
" Load More Artwork","تحميل المزيد من العمل الفني"
" Upload Image","تحميل الصور"
" Shapes Plugin","الأشكال البرنامج المساعد"
" Custom Round Neck - Plain T-shirt","مخصص جولة الرقبة - عادي تي شيرت"
"ELEMENTS USED","العناصر المستخدمة"
"CUSTOMIZE IT","تخصيصه"
"Total Price","السعر الكلي"
"Add Graphic","إضافة الجرافيكي"
"Add Text","إضافة نص"
"Select Color","اختيار اللون"
" Download","تحميل"
"Download customized design","تحميل التصميم حسب الطلب"
"JOIN","انضم"
"Trackorder","المسار ترتيب"
"Blog","مدونة"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","من الخاص حسابي لوحة لديك القدرة على عرض لقطة من النشاط حسابك في الفترة الأخيرة وتحديث معلومات حسابك. حدد الرابط أدناه لعرض أو تعديل المعلومات."
"Movie Posters","بوسترات الأفلام"
"Dubai Icon","أيقونة دبي"
"The Crazy Ones","المجانين"
"Women Clothing","ملابس النساء"
"Men Clothing","ملابس الرجال"
"Phone Covers","أغطية الهواتف"
"Corporate Orders","طلبات الشركات"
"Create","أنشئ"
"Just Because","فقط بسبب"
"That Feeling","الشعور"
"Coffee","قهوة"
"Music","موسيقى"
"Pug Line","الخط الصلصال"
"Family","العائلة"
"Scary","مخيف"
"Description","الوصف"
"SIZE GUIDE","دليل الأحجام"
"Size Guide","دليل الأحجام"
"Product Care","العناية بالمنتج"
"Size","الحجم"
"Styles","الأساليب"
"SIZE","الحجم"
"STYLES","الأسلوب"
"Quantity","الكمية"
"Creo's Celebrity Hush is a provocative insight on the secret life of celebrities. But you don't have to hush about it","ميزة أخبار المشاهير من CREO هي رؤية مثيرة على الحياة المشاهير . لكن ليس عليك أن تتكتم حولها"
"Add to Cart","أضف الى عربة التسوق"
"ADD TO CART","أضف الى عربة التسوق"
"There are no products matching the selection.","لا توجد منتجات مطابقة مع الاختيارات."
"Your search returns no results.","أسفر بحثك عن أية نتائج."
"Shipping Information","معلومات الشحن"
"PRODUCT DESCRIPTION","مواصفات المنتج"
"UNIT PRICE","سعر الوحدة"
"QUANTITY","الكمية"
"2PAC Celebrity Hush","أخبار المعروف توباك (2PAC)"
"Edit Remove Item","تحرير أو إزال الموضوع"
"Edit","تحرير"
"Edit Address","تعديل العنوان"
"PRODUCT DETAILS","تفاصيل المنتج"
"Round","دائري"
"Tshirt Color","لون القميص"
"Green","أخضر"
"Grand Total","المجموع الإجمالي"
"Subtotal","المجموع الفرعي"
"CONTINUE SHOPPING","استمر بالتسوق"
"SHOPPING CART","عربة التسوق"
"Proceed to Checkout","استمر للوصول الى الدفع"
"UPDATE SHOPPING BAG","تحديث حقيبة التسوق"
