" The customer doesn't exist in the system anymore","الزبون غير موجود في النظام بعد الآن"
" and ","و"
"(Absolute path or Relative to Magento install root, ex. var/export)","(الطريق المطلقة او النسبيه لتثبيت جذور magento, مثلا. var/تصدير)"
"(For US 2-letter state names)","(For US 2-رسالة اسماء الدولة)"
"(If left empty will be auto-generated)","(اذا تركت فارغه سوف تولد آليا)"
"(Leave empty for first spreadsheet)","(اتركها فارغة لجدول البيانات الاولى)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(المنتجات ستتم اضافة / تحديث لهذا التخزين اذا 'مخزن' عمود فارغه او مفقود في ملف الاستيراد.)"
"(Shift-)Click or drag to change value","(Shift-)اضغط أو اسحب لتغيير القيمة"
"(Starting with)","(يبدا مع)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(عندما 'لا' ، الا رسمها الميادين سوف يتم استيرادها. عندما رسم الخرائط ، واستخدام 'عمود 1' ، 'عمود 2' ، الخ.)"
"(You have to increase php memory_limit before changing this value)","(لديك زيادة في حد الذاكرة المتاحة للـ php قبل تغير القيمة("
"(\t for tab)","(\t لترك مسافة)"
"* - If indexing is in progress, it will be killed and new indexing process will start","اذا الارشفة في التقدم , ستقتل وتبدأ عملية أرشفة جديدة"
"- Click on any of the time parts to increase it","- ثبت زر الماوس على أي من الاختيارات التي في الأعلى للسرعة"
"- Hold mouse button on any of the above buttons for faster selection.","ثبت زر الماوس على أي من الأزرار التي في الأعلى لاختيار أسرع"
"- Use the %s buttons to select month","استخدم أزرار الـ  %s لاختيار الشهر"
"- Use the %s, %s buttons to select year","استخدم الـ %s, أزرار %s لاختيار السنة"
"- or Shift-click to decrease it","أو اضغط على -Shift- لانقاصه"
"- or click and drag for faster selection.","- أو انقر على سحب للتحديد السريع"
"-- Please Select --","-- فضلا اختار --"
"-- Please select --","-- فضلا اختار --"
"-- Please select a category --","--  فضلا اختار فئة  --"
"--Please Select--","--فضلا اختار--"
"1 Hour","1 ساعة"
"12 Hours","12 ساعة"
"12h AM/PM","12 ساعة صباحاًمساءً"
"2 Hours","2 ساعة"
"24 Hours","24 ساعة"
"24h","24 ساعة"
"2YTD","منذ سنتين"
"6 Hours","6 ساعة"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">خطأ رقم 404</h1><p>الصفحة غير موجودة</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">غير مسموح بالدخول</h1><p>غير مسموح بالدخول.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","لقد تم ارسال كلمة سر جديدة لعنوان بريدك. الرجاء الرجوع الى بريدك الالكتروني والنقر على الرجوع لتسجيل الدخول"
