" and ","و"
"(Absolute path or Relative to Magento install root, ex. var/export)","(المسار المطلق أو النسبي المتعلق بتنصيب جذر ماجنتو ,مثال var/export)"
"(For US 2-letter state names)","(للولايات المتحدة الأمريكية 2-محرف اسم الدولة)"
"(If left empty will be auto-generated)","(إذا اليسار فارغ سوف يتم انشاءه تلقائياً)"
"(Leave empty for first spreadsheet)","(ترك فراغ في الجدول الأول)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(المنتجات سوف تضافترفع إلى هذا المتجر إذا 'المنتجر' عموده فارغ أو مفقود في الملف المستورد.)"
"(Shift-)Click or drag to change value","(Shift-)اضغط أو اسحب لتغيير القيمة"
"(Starting with)","(أبدا مع)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(عند 'لا', فقط تعيين الحقول سوف يكون ضرورياً . عند رسم الخرائط , استخدم 'عمود 1' , 'عمود2' ,إلخ.)"
"(You have to increase php memory_limit before changing this value)","(لديك زيادة في حد الذاكرة المتاحة للـ php قبل تغير القيمة("
"(\t for tab)","(\t لترك مسافة)"
"- Click on any of the time parts to increase it","- إضغط على أي من أجزاء الوقت لزيادته"
"- Hold mouse button on any of the above buttons for faster selection.","- امسك زر الفأرة على أي من الأزرار العلوية لاختيار أسرع"
"- Use the %s buttons to select month","- استخدم الأزرار  %s لاختيار الشهر"
"- Use the %s, %s buttons to select year","- استخدم الأزرار  %s لاختيار السنة"
"- or Shift-click to decrease it","- أو Shift-اضغط على لإنقاصه"
"- or click and drag for faster selection.","- أو اضغط و اسحب لاختيار أسرع"
"API:","API:"
"About the calendar","عن التقويم"
"Access Denied.","وصول مرفوض."
"Account Created in:","أنشئ الحساب في:"
"Account Created on (%s):","الحساب منشأ في (%s):"
"Account Created on:","انشأ الحساب اعتبارا :"
"Action","حدث"
"Actions","أحداث"
"Add","إضافة"
"Add Contents Path","إضافة مسار المحتويات"
"Add Field with URL:","إضافة حقول مع الروابط:"
"Add Maintainer","إضافة صائن"
"Add New Role","إضافة دور جديد"
"Add New Template","إضافة قالب جديد"
"Add New User","إضافة مستخدم جديد"
"Add PHP Extension dependency","إضافة الاعتماد لإضافة للـ PHP"
"Add Package dependency","إضافة حزمة التابعة"
"Add Subpackage dependency","إضافة حزمة التابعة"
"Add new store view map","إضافة متجر عرض الخريطة جديد"
"Add new website map","إضافة خريطة موقع جديدة"
"Address Type:","نوع العنوان:"
"All","الكل"
"All Websites","كل المواقع"
"All fields","كل الحقول"
"Archive file name:","أرشيف اسم الملف:"
"Are you sure that you want to delete this template?","هل أنت متأكد أنك تريد حذف هذا القالب؟"
"Are you sure that you want to strip tags?","هل أنت متأكد من أنك تريد شريط الوسوم؟"
"Attribute Set Name:","تعيين اسم السمة:"
"Attributes","السمات"
"Available Products","المنتجات المتاحة"
"Big Image","صورة كبيرة"
"Billing Address","العنوان الذي ترسل له الفواتير"
"Bundle Items","حزمة المنتجات"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","يمكن تسعير ربطة مع دينامية لا تشمل الخيارات المخصصة المحددة. ولن يتم حفظ الخيارات."
"CSV / Tab separated","CSV / منفصل التبويب"
"Card Verification Number","رقم بطاقة التحقق"
"Catalog","الدليل"
"Channel","قناة"
"Channel:","قناة:"
"Choose Store View","اختر مظهر المتجر"
"Client Session timeout (sec.)","جلسة العميل انتهت (ثانية.)"
"Close","إنهاء"
"Comments History","سجل التعليقات"
"Confirmed email:","تأكيد البريد الإلكتروني:"
"Connect with the Magento Community","اتصل مع مجتمع ماجنتو"
"Contents","المحتويات"
"Country:","البلد:"
"Create New Staging Store View","إنشاء عرض جديد مخزن التدريج"
"Create a backup","إنشاء نسخة إحتياطية"
"Created <strong>%s</strong> items","أنشئ <strong>%s</strong> منتجات"
"Credit Card Number","رقم بطاقة الائتمان"
"Credit Card Number: xxxx-%s","رقم بطاقة الائتمان: xxxx-%s"
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Card Type: %s","نوع بطاقة الائتمان : %s"
