"DB","قاعدة البيانات"
"Cannot read backup file","لا يمكن القراءة من النسخة الاحتياطية"
"Backup file doesn't exist","نسخة الملف الاحتياطى غير موجود"
"Backups Control","مراقبة احتياطية"
"Backups Control","مراقبة احتياطية"
"Type","النوع"
"Backups","النسخ الاحتياطية"
"Time","الزمن"
"Action","العملية"
"Create Backup","انشئ نسخة احتياطية"
"File compressed with Zlib, but this extension is not installed on server","تم انشاء الملف بواسطة Zlib ولكن هذه الاضافة غير متاحة فى الخادم"
"Download","تحميل"
"All types","جميع الانواع"
"Wrong order of creation for new backup","خطأ فى ترتيب انشاء نسخة احتياطية جديدة"
