"# of Use","# الاستخدام"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s العناصر"
"(Copy data from: %s)","(انسخ البيانات من : %s)"
"(Will make search for the query above return results for this search.)","(وسوف تقدم للبحث عن الاستفسار اعلاه اظهار نتائج لهذا البحث.)"
"* Required Fields","حقول مطلوبة *"
"-- Please Select --","-- برجاء الاختيار--"
"A name is required","يجب ادخال اسم"
"ALL GROUPS","جميع المجموعات"
"AM","AM"
"Action","فعل"
"Add Attribute","اضافة السمة"
"Add Design Change","اضف تغير التصميم"
"Add Group","اضافة مجموعة"
"Add Items to Cart","اضافة بنود الى سلة التسوق"
"Add New","اضف جديد"
"Add New Attribute","اضافة سمة جديدة"
"Add New Attribute Set","اضف وضع السمات الجديد"
"Add New Group","اضف مجموعة جديدة"
"Add New Images","اضف صور جديدة"
"Add New Option","إضافة إختيار جديد"
"Add New Row","أضافة صف جديد"
"Add New Search Term","اضف كلمة بحث جديدة"
"Add New Set","اضف وضع جديد"
"Add Option","اضف خيار"
"Add Product","اضف منتج"
"Add Product To Websites","اضف منتج الى الموقع"
"Add Root Category","إضافة فئة رئيسية"
"Add Subcategory","إضافة فئة فرعية"
"Add Tax","إضافة ضريبة"
"Add Tier","اضافة صف"
"Add to Cart","Add to Cart"
"Add to Compare","اضف للمقارنة"
"Add to My Wishlist","اضف الى قائمة امنياتي"
"Add to Wishlist","اضف الى قائمة الامنيات"
"Additional Information","معلومات اضافية"
"All","الكل"
"All Product Types","كل انواع المنتجات"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","سيتم مسح جميع المنتجات في هذه المجموعة! هل انت متأكد إنك تريد مسح مجموعة السمة هذه؟"
"Allow HTML-tags on Front-end","السماح ل HTML-tags على الواجهة الامامية"
"Allowed File Extensions","ملحقات ملفات مسموحة"
"Allowed file extensions to upload","ملحقات الملفات المسموح بها للتحميل"
"Amount","كمية"
"Apply To","طبق على"
"Apply To Configurable/Grouped Product","تنطبق على تهيئة / تجميع المنتج"
"Approved","معتمد"
"Are you sure you want to delete this category?","هل انت متأكد من انك تريد حذف هذه الفئة؟"
"Are you sure you would like to remove all products from your comparison?","هل أنت متأكد إنك تريد حذف جميع المنتجات من المقارنة؟"
"Are you sure you would like to remove this item from the compare products?","هل انت متأكد من انك تريد ازالة هذا البند من المقارنة بين المنتجات؟"
"Are you sure?","هل انت متأكد؟"
"As low as:","منخفضة:"
"Assign","تعيين"
"Assign product link","تعيين رابط المنتج"
"Assign product to category","تعيين المنتج الى الفئة"
"Assigned Products","تعيين المنتجات"
"Associated Products","المنتجات المرتبطه بها"
"Attrib. Set Name","Attrib. اسم مجموعة"
"Attribute Code","رمز السمة"
"Attribute Information","معلومات السمة"
"Attribute Label","علامة السمة"
"Attribute Model","موديل السمة"
"Attribute Name:","اسم السمة:"
"Attribute Properties","خصائص السمة"
"Attribute Set","وضع السمة"
"Attribute group with the ""/name/"" name already exists","مجموعة السمات للاسم  ""/name/"" موجودة سابقا"
"Attribute model not defined","لم يعرف موديل السمة"
"Attribute with the same code already exists","السمة مع نفس القانون موجود بالفعل"
"Attributes","الصفات"
"Attrribute names can be specified per store.","يمكن أن تعين أسماء السمات لكل محل"
"Autogenerate","توليد الي"
"Availability","التوفر"
"Availability: In stock.","التوفر : في المخزون"
"Availability: Out of stock.","التوفر : غير متوفر"
"Back","رجوع"
"Backend Model","نموذج الخلفية"
"Backend Table","جدول الخلفية"
"Backend Table Title","عنوان جدول الخلفية"
"Backorders","الخلفيات"
"Base directory to upload image file is not specified","قاعدة دليل لتحميل ملف الصورة غير محدد"
"Based On","اعتمادا على"
"Best Value","القيمة الافضل"
"Block after Info Column","حظر بعد عمود المعلومات"
"Bottom/Left","اسفل / يسار"
"Bottom/Right","اسفل/يمين"
"Browse By","تصفح ب"
"Buy %1$s for %2$s","اشتري %1$s ب%2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","اشتري %1$s ب %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","لا يمكن استخدامها الا مع نوع المدخلات الكاتالوج منسدله"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ولا يمكن استخدامها الا مع نوع المدخلات الدليل منسدله ، اختر المتعددة والأسعار"
"Can't create image.","لايمكن إنشاء صورة"
"Cannot create writeable directory '%s'","لا يمكن إنشاء دليل قابل للقراءة'%s'"
"Cart Item Attribute","ميزة سلة العنصر"
"Catalog","دليل"
"Catalog Input Type for Store Owner","الكاتالوج نوع المدخلات لصاحب المتجر"
"Catalog Price Scope","نطاق دليل الاسعار"
"Catalog Section","قسم الفهرس"
"Catalog, Search","دليل, بحث"
"Categories","فئات"
"Categories Sitemap","فئات خريطة الموقع"
"Category","تصنيف"
"Category API","فئة  API"
"Category Data","بيانات الفئة"
"Category Navigation:","مسار الفئة:"
"Category Products","فئة المنتجات"
"Category Top Navigation","الفئة الأعلى للتصفح"
"Category URL Suffix","فئة URL البادئة"
"Category attributes API","فئة سمات API"
"Category delete error","خطاء في حذف الفئة"
"Category deleted","تم حذف الفئة"
"Category move error","خطاء في تحريك الفئة"
"Category must be instance of Mage_Catalog_Model_Category","يجب على الفئة أن تكون instance of Mage_Catalog_Model_Category"
"Category saved","تم حفظ الفئة"
"Change","تغير"
"Change or Retrieve attribute store view","تغير أو إسترجاع سمة عرض المتجر"
"Change status","تغير الوضع"
"Check items to add to the cart or","إيداع العناصر إضافة إلى العربة أو"
"Choose an Option...","اختار خيار..."
"Choose option...","اختار خيار..."
"Clear All","حذف كل شيء"
"Clear All Items","تنظيف جميع العناصر"
"Close Window","أغلق النافذه"
"Collapse All","طي الكل"
"Comparable","قابل للمقارنه"
"Comparable on Front-end","للمقارنة على الواجهة الاماميه"
"Compare Items","مقارنة العناصر"
"Compare Products","مقارنة المنتجات"
"Compare Products (%d)","مقارنة المنتجات  (%d)"
"Compare Products - %d Items","مقارنة المنتجات - %d عناصر"
"Compare Products List","مقارنة قائمة المنتجات"
"Compare list successfully cleared","تم مقارنة تطهير القائمة بنجاح"
"Conditions Combination","الجمع بين الشروط"
"Configurable Product","منتج للتهيئة"
"Configurable Product Settings","اوضاع منتجات التشكيل"
"Continue","استمر"
"Copy From Configurable","نسخ من التشكيل"
"Country/State","بلد / ولاية"
"Create","إنشاء"
"Create (Upload)","إنشاء (رفع)"
"Create Empty","انشاء فارغ"
"Create Product Settings","انشاء اوضاع المنتج"
"Create Simple Associated Product","انشاء بسيطة المنتجات المرتبطه بها"
"Create new category","انشىء فئة جديدة"
"Create new product","انشىء منتج جديد"
"Cross-sells","عبر المبيعات"
"Currently Shopping by","التسوق الحالي بواسطة"
"Custom Design","عرف التصميم"
"Custom Options","عرف الخيارات"
"Customer Group","مجموعة العملاء"
"Customers Reviews","استعراضات العملاء"
"Customers Tagged Product","منتجات العملاء الموسومه"
"Customers for alert %s was successfuly added to queue","تنبيه للعملاء ق %s تمت اضافة الى الصف"
"Data Type for Saving in Database","نوع البيان للحفظ في قاعدة البيانات"
"Date","التاريخ"
"Date & Time Custom Options","عرف خيارات التأريخ و الوقت"
"Date Subscribed","تاريخ مشترك"
"Date fields order","تأريخ حقول الطلب"
"Datetime","وقت التاريخ"
"Decimal","عشري"
"Decimal Number","رقم عشري"
"Declare attribute value saving scope","تعلن قيمة السمة انقاذ نطاق"
"Default Qty","افتراضي Qty"
"Default Values","القيم الافتراضية"
"Default price","سعر افتراضي"
"Default value","قيمة افتراضية"
"Delete","الغاء"
"Delete Attribute","حذف السمة"
"Delete Attribute Set","حذف وضع السمة"
"Delete Category","حذف فئة"
"Delete Option","حذف خيار"
"Delete Row","حذف الصف"
"Delete Search","حذف بحث"
"Delete Selected Group","حذف المجموعة المختارة"
"Delete category","حذف الفئة"
"Delete product","حذف المنتج"
"Depends on design theme","يعتمد على تصميم الموضوع"
"Design","تصميم"
"Disabled","فاقد الاهلية"
"Display in Suggested Terms","العرض في العناصر المقترحة"
"Double click on a group to rename it","قم بالضغط مرتين على المجموعة لاعادة تسميتها"
"Double click on above image to view full picture","انقر مرتين على الصورة أعلاه لرؤية الصورة كاملة"
"Dropdown","انزال"
"Duplicate","تكرار"
"Duplicate website tier price customer group and quantity.","موقع الطبقة المكرره السعر والكميه مجموعة العملاء."
"Duplicate website, country and state tax found.","تكرار الموقع، البلد والدولة والضرائب الموجودة."
"Edit","تحرير"
"Edit Attribute Set '%s'","اضافة وضع السمات '%s'"
"Edit Product Attribute","اضافة سمة المنتج"
"Edit Product Attribute ""%s""","اضافة سمة المنتج ""%s"""
"Edit Search","اضافة بحث"
"Edit Search '%s'","اضافة بحث '%s'"
"Email","بريد الكتروني"
"Email to a Friend","ارسل بريد الكتروني الى صديق"
"Empty","فارغ"
"Enabled","ممكن"
