"Can not specify product identifier for order item","لا ينمت تخصيص معرف المنتج لترتيب الصنف"
"No Backorders","لا توجد اوامر العودة"
"Backorders","اوامر العودة"
"Minimum Qty for Items' Status to be In Stock","اقل كمية لكل صنف مسموح بوجودها فى المخزون"
"Minimum Qty Allowed in Shopping Cart","اقل كمية مسموح بها فى سلة التسوق"
"Maximum Qty Allowed in Shopping Cart","اقصى كمية مسموح بها فى سلة التسوق"
"The requested quantity is not available.","الكمية المطلوبة لم تعد موجودة."
"The requested quantity for ""%s"" is not available.","الكمية المطلوبة لـ ""%s"" لم تعد موجودة"
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"Inventory","الجرد"
"Allow Qty Below 0 and Notify Customer","السماح بكمية تحت ال 0 و أعلام العميل"
"Allow Qty Below 0","السماح بالكمية 0"
"Rule price","السعر الاساسى"
"Decrease Stock When Order is Placed","ازل من المخزون عند استلام الطلب الجديد"
"Notify for Quantity Below","اعلم عندما تكون الكمية تحت "
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Update the Product","تحديث هذا المنتج"
"Stock Options","خيارات المخزون"
