"* Required Fields","* حقول مطلوبة"
<<<<<<< HEAD
"Comment","تعليق"
"Contact Form","نموذج الاتصال"
"Contact Information","بيانات الاتصال"
"Contact Us","اتصل بنا"
"Contacts","المتصلين"
"Contacts Section","Contacts Section"
"Email","البريد الالكترونى"
"Email Options","خيارات البريد الالكترونى"
"Email Sender","مرسل الرسالة"
"Email Template","قوالب الرسالة"
"Enable Contact Us","تفعيل اتصل بنا"
"Name","الأسم"
"Send Emails To","ارسل رسائل الى"
"Submit","أرسل"
"Telephone","الهاتف"
"Unable to submit your request. Please, try again later","لا يمكن تنفيذ طلبك الان , من فضلك حاول لاحقا"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
=======
"Email Template","قوالب الرسالة"
"Unable to submit your request. Please, try again later","لا يمكن تنفيذ طلبك الان , من فضلك حاول لاحقا"
"Contact Form","نموذج الاتصال"
"Email Sender","مرسل الرسالة"
"Submit","أرسل"
"Telephone","الهاتف"
"Contacts","المتصلين"
"Name","الأسم"
"Email","البريد الالكترونى"
"Contact Us","اتصل بنا"
"Send Emails To","ارسل رسائل الى"
"Contact Information","بيانات الاتصال"
"Enable Contact Us","تفعيل اتصل بنا"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","تم استلام رسالتك و سيتم مراجعتها و الاستجابة باسرع ما يمكن, شكرا لاتصالك"
"Comment","تعليق"
"Email Options","خيارات البريد الالكترونى"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
