"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","يوميا"
"Failure history lifetime","الفشل في تاريخ عمر"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","اذا ضاعت لا يتنافى مع حدود"
"Monthly","شهريا"
"No callbacks found","No callbacks found"
"Schedule ahead for","الجدولة لـ"
"Success history lifetime","نجاح عمر التاريخ"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","خطأ فى حفظ العملية"
"Unknown error","Unknown error"
"Weekly","اسبوعيا
"
