"* Required Fields","* الحقول المطلوبة"
"A new password was sent","تم إرسال كلمة مرور جديدة"
"Account Dashboard","لوحة التحكم الرئيسية الحساب"
"Account Information","بيانات الحساب"
"Account Sharing Options","خيارات مشاركة الحساب"
"Account information was successfully saved","تم حفظ بيانات الحساب بنجاح"
"Action","فعل"
"Add New Address","إضافة عنوان جديد"
"Add New Customer","إضافة عميل جديد"
"Add New Customer Group","إضافة مجموعة عملاء جديدة"
"Added From","مضاف من"
"Additional Address Entries","مدخلات عنوان إضافية"
"Address","العنوان"
"Address Book","دفتر العنوان"
"Address Information","بيانات العنوان"
"Addresses","العناوين"
"Admin","الإدارة"
"All","الكل"
"All Store Views","مشاهدات جميع المخازن"
"All countries","كل الدول"
"Always optional","خياري دائما"
"Amount","كمية"
"Approved","وافق"
"Are you sure that you want to remove this item?","هل أنت متأكد أنك تريد إزالة هذه السلعة؟"
"Are you sure you want to cancel adding of this address?","هل أنت متأكد أنك تريد إلغاء إضافة هذا العنوان؟"
"Are you sure you want to delete this address?","هل أنت متأكد أنك تريد حذف هذا العنوان؟"
"Are you sure?","هل أنت متأكد؟"
"Array of Entity collections is expected","مجموعة من المجموعات ومن المتوقع ان الكيان"
"Assign a customer group","تعيين فريق العملاء"
"Average Sale","متوسط البيع"
"Back","العودة"
"Back to Login","العودة لتسجيل الدخول"
"Bad request.","Bad request."
"Bill to Name","الفاتورة إلى الإسم"
"Billing Information","بيانات الدفع"
"Bought From","تم الشراء من"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","عن طريق انشاء حساب مع شركائنا في المتجر ، سوف تكون قادرة على التحرك من خلال عملية الخروج بشكل اسرع ، وتخزين متعددة تتناول النقل البحري ، وبالنظر الى المسار الاوامر الخاصة بك في حسابك وأكثر."
"CSV","CSV"
"Can't save address","لا يمكن حفظ العنوان"
"Can't save customer","لا يمكن حفظ العميل"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","لايمكن للعميل  نشر الحساب عالميا. لأن بعض حسابات العملاء مع رسائل البريد الإلكتروني نفسه موجود على مواقع متعددة ولا يمكن دمجهما."
"Cancel","إلغاء"
"Change Account Password","تغيير كلمة مرور الحساب"
"Change Billing Address","تغيير عنوان الدفع"
"Change Password","تغيير كلمة المرور"
"Change Shipping Address","تغيير عنوان الشحن"
"City","المدينة"
"Company","الشركة"
"Config","اعداد"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirm Password","تأكيد كلمة المرور"
"Confirmation Link Email","تأكيد وصلة البريد الألكتروني"
"Confirmed","مؤكدة"
"Contact Information","بيانات الاتصال"
