"* Select shipping method","* اختر طريقة الشحن "
"AVS Status: %s","AVS اوضاع: %s"
"CC Partial: xxxx-%s","CC جزئي: xxxx-%s"
"Enable","يمكن"
"Invoice auto-created: %s","فاتورة الانشاء الالي: %s"
"Amount: %s","كمية: %s"
"Fulfillment: %s -> %s","وفاء: %s -> %s"
"New order status","وضع امر جديد"
"Debug","نقح"
"Merchant Key","مفتاح التاجر"
"Location","موقع"
"Continue Shopping URL","موقع استمرار التسوق"
"Financial: %s -> %s","مالي: %s -> %s"
"Auto-generated from GoogleCheckout Charge","متولد آليا من غوغل الخروج المسؤول"
"CID Status: %s","مركز ادارة التحقيقات الجناءيه: %s"
"Latest Refund: %s","آخر رد: %s"
"Google Charge:","المسؤل عن الغوغل:"
"Eligible for protection: %s","المستحقين للحمايه: %s"
"Buyer account age: %s days","المشتري حساب العمر: %s days"
"Optional, leave empty for home page.","الاختياري ، فارغه لمغادرة الصفحه الرئيسية."
"Virtual item to reflect discount total","البند الافتراضيه لتعكس مجموع الخصم"
"Sandbox","الصندوق الرمل"
"Expiration: %s","انتهاء: %s"
"Total Refunded: %s","اجمالي الاسترداد: %s"
"Hide Cart Contents During Checkout","اخفاء محتويات السلة خلال الخروج"
"Latest Charge: %s","اخر دفع: %s"
"Google Refund:","اعادة ايجاد غوغل:"
"Google Order Number: %s","اعداد اوامر الغوغل: %s"
"Google Checkout","تاكيد الغوغل"
"Google order status change:","تغير اوضاع اوامر الغوغل:"
"Google Authorization:","تصريح الغوغل:"
"Total Charged: %s","دفع المجموع: %s"
"Google Buyer Id: %s","رمز التعريفي لمشتري الغوغل: %s"
"Merchant ID","رمز تعريف التاجر"
"Cart Discount","سلة الخصم"
"Default price:","سعر افتراضي:"
"IP Address: %s","عنوان الملكية الفكرية: %s"
"Google API","غوغل API"
"Google Risk Information:","صور المعلومات عن المخاطر:"
"Google Checkout Shipping - Carrier Calculated","صور الخروج النقل البحري -- محسوبه الناقل"
"Google Checkout Shipping - Flat Rate","صور الخروج النقل البحري -- معدل ثابت"
"Google Checkout Shipping - Merchant Calculated","صور الخروج النقل البحري -- حساب التاجر"
"Google Checkout: %s","صور الخروج: %s"
"Checkout Image Style","صورة اسلوب الخروج"
