" Copy"," نسخة"
<<<<<<< HEAD
"Action","فعل"
"Add New Template","إضافة قالب جديد"
"Add to Queue","اضف الى الصف"
"Are you sure that you want to delete this template?","هل أنت متأكد أنك تريد حذف هذا القالب؟"
"Are you sure that you want to strip all tags?","هل انت متاكد انك تريد من تشريط جميع العلامات؟"
"Back","العودة"
"Cancel","إلغاء"
"Cancelled","تم الإلغاء"
"Cannot delete subscriber","لا يمكن حذف المشترك"
"Cannot delete template","لا يمكن حذف القالب"
"Cannot mark as received subscriber","لا يمكن ان العلامه كما وردت المشترك"
"Cannot save your subscription: %s","لا يمكن حفظ اشتراكك: %s"
"Confirmation Email Sender","مرسل البريد الإلكتروني التأكيدي"
"Confirmation Email Template","قالب البريد الإلكتروني التأكيدي"
"Confirmation request has been sent","تم إرسال الطلب التأكيدي"
"Convert to Plain Text","تحويل الى نص عادي"
"Create Newsletter Template","إنشاء قالب نشرة بريدية"
"Customer","العميل"
"Customer Firstname","الاسم الأول للعميل"
"Customer Lastname","اسم العائلة للعميل"
"Date Added","التاريخ المضاف فيه"
"Date Updated","تحديث التاريخ"
"Delete Selected Problems","حذف المشاكل المختارة"
"Delete Template","حذف قالب"
"Do you really want to cancel the queue?","هل تريد ان تلغي الصف؟"
"Duplicate of template code","تكرار رمز القالب"
"Edit Newsletter","تحرير النشرة البريدية"
"Edit Newsletter Template","تحرير قالب النشرة البريدية"
"Edit Queue","اضافة قالب"
"Edit Template","تحرير قالب"
"Email","البريد الإلكتروني"
"Enter your email address","ادخل عنوان بريدك الالكتروني"
"Error Code","كود خطأ"
"Error Text","نص خاطئ"
"Form was filled incorrectly","تمت تعبئة النموذج بطريقة غير صحيحة"
"Guest","زائر"
"ID","الرمز التعريفي"
"Invalid queue selected","غير صالح الصف مختارة"
"Invalid subscriber ID","رقم تعريف المشترك غير صحيحة"
"Invalid subscription ID","اشتراك غير صحيح معرف"
"Invalid subscription confirmation code","كود تأكيد الاشتراك غير صحيح"
"Message","رسالة"
