<<<<<<< HEAD
"%s Item(s)","%s صنف"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","اغلق النافذة"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","الوصف الاعتيادى"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","ساعدنا لنحافظ على الماجنتو سليمة"
"Interface Language","لغة الواجهه"
"Items %s to %s of %s total","عناصر %s to %s of %s مجموع"
"Next Page"," الصفحة التالية"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","صفحة:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","الصفحة السابقة"
"Redirecting...","Redirecting..."
"Report All Bugs","أبلغ عن كل الثغرات"
"Select Store","اختر متجرا"
"Select date","Select date"
"Show","أعرض"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","تجاوز الى المحتويات الرئيسية"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","وهذا هو توضيحي المحل. اي طلبات الشراء من خلال هذا المتجر لن يتم الوفاء بها او تكريم."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","مرحبا, %s!"
"You're currently on:","انت حاليا فى:"
"Your Language","اختيار اللغة "
"Your Language:","Your Language:"
"per page","لكل صفحة"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
=======
"Next Page"," الصفحة التالية"
"%s Item(s)","%s صنف"
"(ver. %s)","(ver. %s)"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento هي العلامه التجارية للشركة استشاريه irubin ديسيبل varien. جميع الحقوق محفوظة ©; %s Irubin استشارة لجنة التفاوض الحكوميه الدولية."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","وهذا هو توضيحي المحل. اي طلبات الشراء من خلال هذا المتجر لن يتم الوفاء بها او تكريم."
"per page","لكل صفحة"
"Interface Language","لغة الواجهه"
"Title Suffix","نهاية العنوان"
"Welcome Text","نص البداية"
"Welcome, %s!","مرحبا, %s!"
"Report All Bugs","أبلغ عن كل الثغرات"
"Show","أعرض"
"Default Keywords","الكلمات المفتاحية الاعتيادية"
"Default Description","الوصف الاعتيادى"
"Magento Commerce Demo Store","المتجر التجريبي"
"Default Robots","التقارير الاعتيادية"
"Footer","الذيل"
"Header","الراس"
"Default Title","العنوان الاعتيادى"
"Previous Page","الصفحة السابقة"
"You're currently on:","انت حاليا فى:"
"Your Language","اختيار اللغة "
"Select Store","اختر متجرا"
"Close Window","اغلق النافذة"
"Title Prefix","بداية العنوان"
"Skip to Main Content","تجاوز الى المحتويات الرئيسية"
"Copyright","حقوق الملكية"
"HTML Head","راس لغة النص التشعبية"
"Help Us to Keep Magento Healthy","ساعدنا لنحافظ على الماجنتو سليمة"
"Items %s to %s of %s total","عناصر %s to %s of %s مجموع"
"Page:","صفحة:"
"Logo Image Alt","صورة الشعار "
"Logo Image Src","صورة الشعار Src"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
