"--Please Select--","--أختر من فضلك--"
"<label>Make Check payable to:</label> %s","<label>اجعل الشيك مدفوعا لـ:</label> %s"
"<label>Make Check payable to</label>: %s","<label>اجعل الشيك مدفوعا لـ</label>: %s"
"Check / Money order","فحص / طلب مال"
"Can not retrieve payment info model object.","لا يمكن استرجاع معلومات دفع نموذج وجوه."""
"Can not retrieve payment method model object.","لا يمكن استرجاع النموذج وجوه طريقة الدفع."
"Can not retrieve payment method instance","لا يمكن استرجاع المثال طريقة الدفع"
"Can not configuration for payment method with code: %s","لا يمكن تشكيل لطريقة الدفع مع مدونة: %s"
"Credit Card Type","نوع بطاقة الأتمان"
"Credit Card Type: %s","نوع بطاقة الأتمان: %s"
"Payment Methods","نظم الدفع"
"Enabled","مفعل"
"What is this?","ما هذا ؟"
"Saved CC","افظ نسخا احتياطية"
"Zero Subtotal Checkout","المجموع الفرعي الخروج صفر"
"Name on Card","الاسم على البطاقة"
"Name on the Card: %s","الاسم على البطاقة: %s"
"Payment from applicable countries","الدفع "
"Payment from Specific countries","الدفع من بلدان معينة"
"Year","السنة"
"Title","العنوان"
"Credit Card Types","انواع بطاقة الائتمان"
"Make Check payable to","اجعل الشيك مدفوعا الى"
"Make Check payable to: %s","اجعل الشيك مدفوعا الى: %s"
"Send Check to","ارسل الشيك الى"
"Send Check to:","ارسل الشيك الى:"
"Credit Card Verification","تأكيد بطاقة الأتمان"
"Expiration Date: %s/%s","تاريخ الأنتهاء: %s/%s"
"Expiration Date","تاريخ الانتهاء"
"New order status","حالة الطلب الجديد"
"Credit Card Number","رقم بطاقة الائتمان"
"Credit Card Number: %s","رقم بطاقة الائتمان: %s"
"Credit Card Number: xxxx-%s","رقم بطاقة الاتمان: xxxx-%s"
"Card Verification Number","رقم تأكيد بطاقة الائتمان"
"Purchase Order Number","رقم طلب الشراء"
"Purchase Order Number: %s","رقم طلب الشراء: %s"
"Sort order","رتب الطلب"
"Month","شهر"
"Purchase order","طلب الشراء"
