"API Password","API كلمة السر"
"API Signature","API التوقيع"
"API User Name","API اسم المستخدم"
"N/A","N/A"
"Paypal IPN Invalid.","Paypal IPN غير صحيحة."
"Paypal Logo Image URL(150x150)","Paypal موقع صورة الشعار(150x150)"
"PayPal Standard (Website Payments Standard)","PayPal المعيار (معيار موقع المدفوعات)"
"PayPal Email","PayPal البريد الالكتروني"
"Paypal Express (Website Payments Pro)","Paypal اعرب عن (موقع المؤيدة للمدفوعات)"
"Visa","فيزا"
"Invoice ","فاتورة "
"Payment Action","فعل الدفع"
"Selected currency code (","كود العملة المختارة ("
"Authorize and Capture","والاستيلاء على الاذن"
"Received IPN verification","وردت IPN التحقق"
"Transaction Type","نوع المعاملة التجارية"
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Card Type: %s","نوع بطاقة الائتمان: %s"
"Enabled","مفعل"
"Website Payments Pro (Express, Direct)","موقع المؤيدة للمدفوعات (التعبير عن المباشر)"
"Website Payments Standard","موقع المدفوعات القياسيه"
"Please select a valid shipping method","من فضلك اختر طريقة شحن صحيحة"
"Please select a shipping method...","من فضلك اختر طريقة شحن..."
"Order total amount does not match paypal gross total amount","من أجل بمبلغ اجمالي لا تتطابق مع بايبال اجمالي المبلغ الاجمالي"
"Proxy Port","منفذ البروكسي"
"What is this?","ما هذا؟"
"MasterCard","ماستركارد"
"Proxy Host","مضيف البروكسي"
"Billing Information","معلومات الدفع"
"Shipping Information","معلومات الشحن"
"Review Order","معاينة طلب الشراء"
"Invalid transaction id","معرف التبادل التجاري غير صحيح"
"Credit Card Types","أنواع بطاقة الائتمان"
"Discover","اكتشف"
"Qty","الكمية"
"Type","النوع"
"Subtotal","المجموع الاصلي"
"Name on Card","الاسم على بطاقة الائتمان"
"Name on the Card: %s","الاسم على بطاقة الائتمان: %s"
"Authorization","التفويض"
"Switch/Solo card issue number: %s","التبديل / بطاقه سولو العدد: %s"
"Switch/Solo card start Date: %s/%s","التبديل / تاريخ بداية بطاقه سولو: %s/%s"
"Sort order","الترتيب"
"Debug Flag","التصحيح العلم"
"Payment from applicable countries","الدفع من البلدان المطبقه"
"Payment from Specific countries","الدفع من دول محددة"
"Items in Your Shopping Cart","السلع في عربة تسوقك"
"Price","السعر"
"Title","العنوان"
"Amex","اميكس"
"Product Name","اسم المنتج"
"Business Name","اسم تجاري"
"Use Proxy","استخدام بروكسي"
"Sale","بيع"
"PayPal Direct (Website Payments Pro)","بايبال مباشرة (الموقع على الانترنت المؤيدة للمدفوعات)"
"Paypal Checkout","بايبال الخروج"
"PayPal Uk Account","بايبال حساب المملكه المتحدة"
"Place an Order","تقديم طلب شراء"
"Start Date","تاريخ البداية"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Expiration Date: %s/%s","تاريخ انتهاء الصلاحية: %s/%s"
"Switch/Solo Only","تبديل / السلو فقط"
"Update Shipping Method","تحديث طريقة الشحن"
"Edit Shopping Cart","تحرير عربة التسوق"
"Change Payment Method","تغيير طريقة الدفع"
"Change Shipping Address","تغيير عنوان الشحن"
"Submitting order information...","جار إرسال معلومات طلب الشراء..."
"New order status","حالة طلب شراء جديدة"
"There has been an error processing your payment. Please try later or contact us for help.","حدث خطأ أثناء معالجة دفعك. من فضلك حاول مرة أخرى أو اتصل بنا للمساعدة."
"There was an error during communication with Paypal: %s - %s","حدث خطأ أثناء الاتصال مع باي بال: %s - %s"
"There was an error connecting to the Paypal server: %s","حدث خطأ أثناء الاتصال بخادم باي بال: %s"
"Business Account","حساب تجاري"
"PayPal Accounts","حسابات باي بال"
"Error in creating an invoice","خطأ في إنشاء فاتورة"
"Error in refunding the payment","خطأ في استرداد المدفوعات"
"Problem during communication with PayPal","خطأ أثناء الاتصال مع باي بال"
"Unknown PayPal API error: %s","خطأ غير معروف بأي بال API: %s"
"Issue Number","رقم الإصدار"
"Credit Card Number","رقم بطاقة الائتمان"
"Credit Card Number: xxxx-%s","رقم بطاقة الائتمان: xxxx-%s"
"Card Verification Number","رقم تأكيد بطاقة الائتمان"
"You will be redirected to paypal in a few seconds.","سيتم إعادة تحويلك إلى باي بال في خلال ثوان."
"Your billing address will be ignored and you will be redirected to PayPal UK website","سيتم تجاهل عنوان الدفع الخاص بك وإعادة تحويلك إلى موقع باي بال بريطانيا"
"Order","طلب الشراء"
"Payment Method","طريقة الدفع"
"Shipping Method","طريقة الشحن"
"Sandbox Flag","علم صندوق الرمل"
"Shipping Address","عنوان الشحن"
"Sorry, no quotes are available for this order at this time.","عذرا ، لم يقتبس متوفره لهذا النظام في هذا الوقت."
