<<<<<<< HEAD
"%s - Discounts and Coupons","%s -  تخفيض و خصم"
"%s - Special Discounts","%s - خصم خاص"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s وصل الى عدد %s."
"%s's Wishlist","%s's قائمة الامنيات"
"Cannot retrieve the wishlist","لا يمكن استعادة محتويات قائمة الامنيات"
"Catalog","كتالوج"
"Category Feeds","Category Feeds"
"Comment: %s<br/>","تعليق: %s<br/>"
"Coupons/Discounts","قسيمات الخصم - التخفيض"
"Current Status: %s<br/>","الحالة الحالية: %s<br/>"
"Customer Name: %s","اسم العميل: %s"
"Customer Order Status Notification","حالة الاحاطة بطلب العميل"
"Details for %s #%s","بيانات لـ %s #%s"
"Discount ","خصم "
"Enable RSS","تفعيل خدمة الخلاصات"
"Error in processing xml. %s","خطأ فى معاملة ملف الاكس ام ال. %s"
"From:","من:"
"Get Feed","تحصل على ملف الخلاصات"
"Gift Message","رسالة الاهداء"
"Grand Total","المجموع الاجمالى"
"Low Stock Products","Low Stock Products"
"Message:","الرسالة:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","الطلبات الجديدة"
"New Products","المنتجات الجديدة"
"New Products from %s","منتجات جديدة من %s"
"Notified Date: %s<br/>","تاريخ الأعلام: %s<br/>"
"Order # %s Notification(s)","الطلب # %s اعلامات"
"Order #%s created at %s","#%s الطلب انشئ عند %s"
=======
"Order #%s created at %s","#%s الطلب انشئ عند %s"
"%s - Discounts and Coupons","%s -  تخفيض و خصم"
"%s - Special Discounts","%s - خصم خاص"
"%s has reached a quantity of %s.","%s وصل الى عدد %s."
"%s's Wishlist","%s's قائمة الامنيات"
"Low Stock Products","Low Stock Products"
"Catalog","كتالوج"
"Tags Products","وسوم المنتجات"
"Wishlist","قائمة الامنيات"
"Coupons/Discounts","قسيمات الخصم - التخفيض"
"There are no %s.","لا يوجد %s."
"Cannot retrieve the wishlist","لا يمكن استعادة محتويات قائمة الامنيات"
"Summary of review: %s <br/>","نبة عن المراجعة: %s <br/>"
"RSS Feeds","ملقمات الخلاصات"
"From:","من:"
"Special/Discount Products","منتجات بخصم خاص"
"New Products from %s","منتجات جديدة من %s"
"Special Products","منتجات خاصة"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
"Pending product review(s)","مراجعات معلقة للمنتجات"
"Product: ""%s"" review By: %s","المنتج: ""%s"" مراجع بواسطة: %s"
"Product: <a href=""%s"">%s</a> <br/>","المنتج: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","المنتجات الموسومة بـ %s"
<<<<<<< HEAD
"Purchased From: %s","تم شراءة: %s"
"RSS","RSS"
"RSS Feeds","ملقمات الخلاصات"
"RSS testing","RSS testing"
"Review: %s <br/>","العرض: %s <br/>"
"Rss Config","اعدادات الخلاصات"
"Rss Feeds Section","Rss Feeds Section"
"Shipping & Handling","الشحن و التسليم"
"Special Products","منتجات خاصة"
"Special/Discount Products","منتجات بخصم خاص"
"Store: %s <br/>","المتجر: %s <br/>"
"Subtotal","المجموع الاصلى"
"Summary of review: %s <br/>","نبة عن المراجعة: %s <br/>"
"Tags Products","وسوم المنتجات"
"Tax","الضرائب"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","الى:"
"Top Level Category","التصنيف الاعلى درجة"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","الاجمالى: %s<br/>"
"Wishlist","قائمة الامنيات"
"click <a href=""%s"">here</a> to view the review","اضغط <a href=""%s"">هــنــا</a>  لعرض هذة المراجعة"
=======
"New Products","المنتجات الجديدة"
"Store: %s <br/>","المتجر: %s <br/>"
"Grand Total","المجموع الاجمالى"
"Subtotal","المجموع الاصلى"
"To:","الى:"
"Total: %s<br/>","الاجمالى: %s<br/>"
"Top Level Category","التصنيف الاعلى درجة"
"Current Status: %s<br/>","الحالة الحالية: %s<br/>"
"Message:","الرسالة:"
"Shipping & Handling","الشحن و التسليم"
"Tax","الضرائب"
"Order # %s Notification(s)","الطلب # %s اعلامات"
"New Orders","الطلبات الجديدة"
"Review: %s <br/>","العرض: %s <br/>"
"Customer Name: %s","اسم العميل: %s"
"click <a href=""%s"">here</a> to view the review","اضغط <a href=""%s"">هــنــا</a>  لعرض هذة المراجعة"
"Rss Config","اعدادات الخلاصات"
"Details for %s #%s","بيانات لـ %s #%s"
"Enable RSS","تفعيل خدمة الخلاصات"
"Purchased From: %s","تم شراءة: %s"
"Notified Date: %s<br/>","تاريخ الأعلام: %s<br/>"
"Get Feed","تحصل على ملف الخلاصات"
"Comment: %s<br/>","تعليق: %s<br/>"
"Customer Order Status Notification","حالة الاحاطة بطلب العميل"
"Error in processing xml. %s","خطأ فى معاملة ملف الاكس ام ال. %s"
"Discount ","خصم "
"Gift Message","رسالة الاهداء"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
