" The customer doesn't exist in the system anymore"," العميل غير موجود في النظام بعد الان"
"""%s"" coupon code is not valid.","""%s"" كود الكوبون غير صحيح."
<<<<<<< HEAD
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s تم وضع الامر في الامساك بنجاح"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","عن هذا الامر:"
"About Your Order","عن امرك"
"Account Information","بيانات الحساب"
"Action","فعل"
"Actions","افعال"
"Add","إضافة"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","إضافة عنوان جديد"
"Add Order Comments","اضف ملاحظة الامر"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","اضف المنتج المختار الى الامر"
"Add To Order","اضف الى الامر"
"Add Tracking Number","إضافة رقم تعقب"
"Add a gift message for <strong>each gift item</strong>","اضف رسالة هدية لل  <strong>لاي عنصر هدية</strong>"
"Add a gift message for the <strong>entire order</strong>","اضف رسالة الهدية الى ال  <strong>الامر الكامل</strong>"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","إضافة إلى عربة التسوق"
"Address","عنوان"
"Adjustment Fee","أجر الضبط"
"Adjustment Fee:","أجر الضبط:"
"Adjustment Refund","اعادة التكيف"
"Adjustment Refund:","اعادة التكيف:"
"Allow Reorder","السماح باعادة الامر"
"Amount","الكمية"
"Append Comments","ارفاق التعليقات"
"Apply","تطبيق"
"Apply Coupon Code","تطبيق كود الكوبون"
"Are you sure you want to cancel this order?","هل أنت متأكد أنك تريد إلغاء طلب الشراء هذا؟"
"Are you sure?","هل أنت متأكد؟"
"Are you sure? This order will be cancelled and a new one will be created instead","هل أنت متأكد؟ سيتم إلغاء هذا الطلب وإنشاء طلب شراء جديد بدلا عنه"
"Back to My Orders","الرجوع الى اوامري"
"Backordered","رجوع الامر"
"Bill to First name","فاتورة بالسم الاول"
"Bill to Last name","فاتورة بالاسم الاخير"
"Bill to Name","فاتورة بالاسم"
"Billing Address","عنوان الفاتورة"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","لا يمكن اضافة تاريخ الامر."
"Can not create block ""%s""","لا يمكن انشاء مساحة ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","لا يمكن شحن الامر."
"Can not register existing creditmemo","لا يمكن تسجيل الإئتمان القائمة المذكره"
"Can not register existing invoice","لا يمكن التسجيل للفاتورة الموجوده"
"Can not register existing shipment","لا يمكن التسجيل في الشحنع الموجوده"
"Can't get order instance","لا يمكن ان تحصل من اجل المثال"
"Cancel","إلغاء"
"Cancel invoice","Cancel invoice"
"Cancel order","Cancel order"
"Canceled","تم الإلغاء"
"Cannot create an empty shipment.","Cannot create an empty shipment."
"Capture","اسر"
"Capture Amount","اسر الكمية"
"Capture Offline","اسر خارج الشبكة"
"Capture Online","اسر داخل الشبكة"
"Capture invoice","Capture invoice"
"Carrier","الناقل"
"Change Status","تغيير الحالة"
"Change status, add comments","Change status, add comments"
"Checkout totals sort order","الخروج المجاميع الترتيب"
"Click to change shipping method","اضغط لتغيير طريقة الشحن"
"Closed","مغلق"
"Comment","تعليق"
"Comment Text","نص التعليق"
"Comments","Comments"
"Comments History","تاريخ التعليقات"
"Complete","تكملة"
"Country","الدولة"
"Coupons","كوبونات"
"Create","إنشاء"
"Create New Customer","إنشاء عميل جديد"
=======
"%s order(s) succesfully released from holding status","%s من اجل بنجاح اطلاق سراحهم من عقد المركز"
"%s order(s) successfully put on hold","%s تم وضع الامر في الامساك بنجاح"
"%s order(s) succesfully canceled","%s تم الغاء الامر بنجاح"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">تحذير: عندما كاتلوج الاسعار يحتوي على الضريبة, يجب ان يضع في  ""لا""</span>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""لون:احمر"">يتطلب ضريبة على اساس الاصل النقل البحري</span>"
"G.T. (Base)","G.T. (قاعدة)"
"G.T. (Purchased)","G.T. (اشتري)"
"PDF Invoices","PDF فواتير"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"PDF Packingslips","PDF زلة تعبئة"
"QTY","QTY"
"Qty","Qty"
"Qty Invoiced","Qty فاتورة"
"Qty to Invoice","Qty للفاتورة"
"Qty To Add","Qty للاضافة"
"Invalid qty to invoice item ""%s""","Qty الفاتوره غير صالحة لهذا البند ""%s"""
"Invalid qty to ship for item ""%s""","Qty الى السفينة غير صالحة للالبند ""%s"""
"Qty Canceled","Qty الغية"
"Qty Ordered","Qty امر"
"Qty Shipped","Qty شحنه"
"Invalid qty to refund item ""%s""","Qty غير صالحة لاعادة البند ""%s"""
"SKU","SKU"
"Sku","Sku"
"Invoices","فواتير"
"Invoice email not sent","فاتوره لم ترسل البريد الألكتروني"
"Invoice capture error","فاتوره الاستيلاء على خطأ"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Invoice and shipment was successfully created.","فاتوره الشحن ونجحت عملية انشاء."
"Invoiced","فاتورة"
"Invoice","فاتورة"
"Invoice # ","فاتورة # "
"Invoice #","فاتورة #"
"Invoice #%s","فاتورة #%s"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Items Invoiced","فاتورة العناصر"
"Bill to Name","فاتورة بالاسم"
"Bill to Last name","فاتورة بالاسم الاخير"
"Bill to First name","فاتورة بالسم الاول"
"New Invoice","فاتورة جديدة"
"New Invoice for Guest","فاتورة جديدة لزائر"
"Action","فعل"
"Hold action is not available","فعل الامساك ليس مسموح"
"separate by "",""","فصل بواسطة"","""
"Coupons","كوبونات"
"Discount Amount","كمية الخصم"
"Refund Amount","كمية الرد"
"Shipping Amount","كمية الشحن"
"Tax Amount","كمية الضريبة"
"State/Province","ولاية/مقاطعة"
"Tax Class for Shipping","وضع الضريبة في الشحنه"
"Custom Value","قيمة مخصصة"
"Shipment Email Template","قالب البريد الالكتروني للشحنه"
"Shipment Email Template for Guest","قالب البريد الالكتروني للشحنه للزائر"
"Wishlist","قائمة الأمنيات"
"Order was not put on hold.","لم يتم وضع الامر في الامساك."
"Order was not unholded.","لم يتم وضع الامر في الامساك."
"Order was not cancelled.","لم يتم إلغاء طلب الشراء."
"No items","لا يوجد سلع"
"No Payment Methods","لا يوجد طرق للدفع"
"Can not do credit memo for order","لا يمكن فعل مذكرة ائتمانية للامر"
"Comment text field can not be empty.","لا يمكن أن يكون حقل التعليق فارغا."
"Can not send shipment information.","لا يمكن إرسال بيانات الشحن."
"Can not add new comment.","لا يمكن إضافة تعليق جديد."
"Can not add tracking number.","لا يمكن إضافة رقم تعقب."
"Can not register existing shipment","لا يمكن التسجيل في الشحنع الموجوده"
"Can not register existing invoice","لا يمكن التسجيل للفاتورة الموجوده"
"Can't get order instance","لا يمكن ان تحصل من اجل المثال"
"Can not create block ""%s""","لا يمكن انشاء مساحة ""%s"""
"Can not retrieve tracking number detail.","لا يمكن استرجاع تفاصيل رقم الشحنه."
"Can not add order history.","لا يمكن اضافة تاريخ الامر."
"Can not initialize shipment for adding tracking number.","لا يمكن تهيئة شحن تتبع لإضافة رقم الشحنه."
"Can not initialize shipment for delete tracking number.","لا يمكن تهيئة شحن تتبع لحذف رقم الشحنه."
"Can not load track with retrieving identifier.","لا يمكن تحميل المسار مع استرجاع المعرف."
"Can not update item qty","لا يمكن تحديث كمية السلعة"
"Can not register existing creditmemo","لا يمكن تسجيل الإئتمان القائمة المذكره"
"Can not save invoice","لا يمكن حفظ الفاتورة"
"Can not save credit memo","لا يمكن حفظ المذكرة الائتمانية"
"Can not save shipment.","لا يمكن حفظ الشحن."
"Can not delete tracking number.","لا يمكن حذف رقم تعقب."
"Can not do shipment for order.","لا يمكن شحن الامر."
"Can not do invoice for order","لا يمكن عمل فاتورة للامر"
"There are no printable documents related to selected orders","لا توجد للطباعة الوثائق ذات الصلة اوامر مختارة"
"No detail for number ""%s""","لا توجد تفاصيل للرقم""%s"""
"You need specify carrier.","لابد من تحديد الناقل."
"SOLD TO:","لبيع:"
"Email Copy of Invoice","نسخة البريد الالكتروني للفاتورة"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Email Copy of Shipment","نسخة البريد الالكتروني للشحنه"
"Comment Text","نص التعليق"
"Are you sure you want to cancel this order?","هل أنت متأكد أنك تريد إلغاء طلب الشراء هذا؟"
"Are you sure?","هل أنت متأكد؟"
"Are you sure? This order will be cancelled and a new one will be created instead","هل أنت متأكد؟ سيتم إلغاء هذا الطلب وإنشاء طلب شراء جديد بدلا عنه"
"Gift","هدية"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Order Comments","ملاحظات الامر"
"Shipment Comments","ملاحظات الشحنة"
"Order Comment","ملاحظة الامر"
"From","من"
"Please select products to add","من فضلك اختر منتجات لإضافتها"
"Please select a store","من فضلك اختر متجرا"
"Please select a customer","من فضلك اختر عميلا"
"Order Update (Credit Memo)","من أجل تحديث (مذكرة الائتمان)"
"From Name","من الاسم"
"Subscribe to Order Status","من اجل الاشتراك في حالة"
"Send Order Comment Email Copy To","من اجل ارسال نسخة منها الى البريد الالكتروني التعليق"
"From:","من:"
"Track this shipment","متابعة هذه الشحنه"
"Track Order","متابعة الامر"
"Track all shipments","متابعة جميع الشحنات"
"Track all shipment(s)","متابعة جميع الشحنات(s)"
"Track your order","متابعة طلبك"
"Same As Billing Address","مثل عنوان الفاتورة"
"Total Qty","مجموع Qty"
"Total Paid","مجموع المدفوعات"
"Total Refund","مجموع الرد"
"Total Refunded","مجموع الردود"
"Row Total","مجموع الصف"
"Total(ex)","مجموع(ex)"
"Total(inc)","مجموع(inc)"
"Customer Group","مجموعة العملاء"
"Mixed","مختلط"
"Paid","مدفوع"
"Credit Memo","مذكرة الائتمان"
"Credit Memo # ","مذكرة الائتمان # "
"Credit Memo #","مذكرة الائتمان #"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo email sent","مذكرة الائتمان ارسال البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"New Credit Memo","مذكرة ائتمانية جديدة"
"New Credit Memo for Guest","مذكرة ائتمانية جديدة للزائر"
"Credit Memo void error","مذكرة باطلة خطا الائتمان"
"Shipment Email Sender","مرسل البريد الالكتروني للشحنه"
"Document","مستند"
"Pending","معلقة"
"Processing data problem","معالجة مشكلة البيانات"
"Closed","مغلق"
"Void","Void"
"Orders was successfully put on hold","أوامر تم بنجاح وضع الانتظار"
"Adjustment Fee","أجر الضبط"
"Adjustment Fee:","أجر الضبط:"
"To","إلى"
"To Name","إلى اسم"
"To:","إلى:"
"Cancel","إلغاء"
"Create","إنشاء"
"Create Shipment","إنشاء شحن"
>>>>>>> 6befb3e5115251dc0dfcceea1be9de3a5d169522
"Create New Order","إنشاء طلب شراء جديد"
"Create New Order for %s","إنشاء طلب شراء جديد لـ %s"
"Create New Order for %s in %s","إنشاء طلب شراء جديد لـ %s في %s"
"Create New Order for New Customer","إنشاء طلب شراء جديد لعميل جديد"
"Create New Order for New Customer in %s","إنشاء طلب شراء جديد لعميل جديد في %s"
<<<<<<< HEAD
"Create Shipment","إنشاء شحن"
"Create new invoice for order","Create new invoice for order"
"Create new shipment for order","Create new shipment for order"
"Created At","انشئت في "
"Credit Memo","مذكرة الائتمان"
"Credit Memo #","مذكرة الائتمان #"
"Credit Memo # ","مذكرة الائتمان # "
"Credit Memo Comment Email Sender","التعليق الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"Credit Memo Comment Email Template for Guest","التعليق الائتمان مذكرة البريد الالكتروني نموذج للضيف"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Credit Memo Email Sender","الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Credit Memo Update","تحديث المذكرة الائتمانية"
"Credit Memo Update for Guest","تحديث المذكرة الائتمانية للضيف"
"Credit Memo email not sent","البريد الالكتروني للمذكرة الائتمانية لم ترسل"
"Credit Memo email sent","مذكرة الائتمان ارسال البريد الالكتروني"
"Credit Memos","المذكرة الائتمانية"
"Creditmemo","المذكرة الائتمانية"
"Custom Options","Custom Options"
"Custom Price","Custom Price"
"Custom Value","قيمة مخصصة"
"Customer","Customer"
"Customer Group","مجموعة العملاء"
"Customer Name","اسم العميل"
"Customer's Current Activities","Customer's Current Activities"
"Date","التاريخ"
"Date Shipped","تاريخ الشحن"
"Date of Birth","Date of Birth"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Delete","حذف"
"Description message","Description message"
"Discount","خصم"
"Discount ","خصم "
"Discount (%s)","خصم (%s)"
"Discount :","خصم :"
"Discount Amount","كمية الخصم"
"Discount%s","Discount%s"
"Display Order ID in Header","Display Order ID in Header"
"Document","مستند"
"Edit","تحرير"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","اضافة امر #%s"
"Email","البريد الإلكتروني"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Email Copy of Invoice","نسخة البريد الالكتروني للفاتورة"
"Email Copy of Shipment","نسخة البريد الالكتروني للشحنه"
"Email Order Confirmation","امر تاكيد البريد الالكتروني"
"Enable","Enable"
"Enabled","Enabled"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","Excl. Tax"
"From","من"
"From Name","من الاسم"
"From:","من:"
"G.T. (Base)","G.T. (قاعدة)"
"G.T. (Purchased)","G.T. (اشتري)"
"Get shipping methods and rates","الحصول على طرق ومعدلات الشحن"
"Gift","هدية"
"Gift Certificate","شهادة هدية"
"Gift Message","رسالة هدية"
"Gift Message for Entire Order","رسالة هدية لكل طلب الشراء"
"Gift Message for this Order","رسالة هدية لطلب الشراء هذا"
"Grand Total","المجموع الكلي"
"Grand Total to be charged","المجموع الكلي التي ستحمل "
"Grand Total:","المجموع الكلي:"
"Guest","زائر"
"Hold","امساك"
"Hold action is not available","فعل الامساك ليس مسموح"
"Hold order","Hold order"
"ID","الرمز التعريفي"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Information","بيانات"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Qty الفاتوره غير صالحة لهذا البند ""%s"""
"Invalid qty to refund item ""%s""","Qty غير صالحة لاعادة البند ""%s"""
"Invalid qty to ship for item ""%s""","Qty الى السفينة غير صالحة للالبند ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","فاتورة"
"Invoice #","فاتورة #"
"Invoice # ","فاتورة # "
"Invoice #%s","فاتورة #%s"
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Invoice Comments","تعليقات الفاتورة"
"Invoice Date","تاريخ الفاتورة"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Template for Guest","البريد الالكتروني فاتوره نموذج للضيف"
"Invoice Update","تحديث الفاتورة"
"Invoice Update for Guest","تحديث الفاتورة للزائر"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
