"Daily","يوميا"
"Hourly","كل ساعة"
"Start Time","وقت البداية"
"Unable to find a sitemap to delete","لا يمكن حذف هذة الخريطة"
"This sitemap no longer exists","هذه الخريطة لم لم تعد متاحة"
"Enabled","متاح"
"Store View","مشهد المتجر"
"Never","أبدا"
"Add Sitemap","أضف خريطة للموقع"
"Path","المسار"
"ID","المعرف"
"Priority","الاولوية"
"Priority must be between 0 and 1","الاولوية يجب ان تكون من بين واحد الى صفر"
"Frequency","التردد"
"Last Time Generated","اخر زمن انشاء مسجل"
"Manage Google Sitemaps","ادارة صور خرائط الموقع"
"Filename","اسم الملف"
"Weekly","اسبوعيا"
"Sitemap was successfully saved","تم حذف خارطة الموقع بنجاح"
"Sitemap was successfully deleted","تم حذف خارطة الموقع بنجاح"
"Sitemap generate Warnings","تحذيرات انشاء الخريطة"
"Edit Sitemap","تحرير خريطة الموقع"
"Categories Options","خيارات التصنيفات"
"CMS Pages Options","خيارات ادارة المحتوى"
"New Sitemap","خريطة موقع جديدة"
"Sitemap","خريطة الموقع"
"Google Sitemap","خريطة الموقع - جوجل"
"Error Email Template","خطأ فى قالب الرسالة"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى ارسال الرسالة"
"Products Options","خصائص المنتج"
"Generation Settings","خصائص الانشاء"
"Always","دائما"
"Link for Google","رابط لجوجل"
"Yearly","سنويا"
"Monthly","شهريا"
"Google Sitemaps","صور خرائط المواقع"
