"# of days before orders get archived","# of days before orders get archived"
"About Your Order","About Your Order"
Action,Action
Actions,Actions
Actual,Actual
"Admin Order Grid","Admin Order Grid"
Archive,Archive
"Archive if","Archive if"
"Back to My Orders","Back to My Orders"
"Billing Postcode","Billing Postcode"
"Billing Telephone","Billing Telephone"
"Bill to City","Bill to City"
"Bill to Company","Bill to Company"
"Bill to Country","Bill to Country"
"Bill to Name","Bill to Name"
"Bill to State","Bill to State"
"Bill to Street","Bill to Street"
"Bought From","Bought From"
Canceled,Canceled
"Coupon Code","Coupon Code"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
Delete,Delete
"Delete Completely","Delete Completely"
"Discount (Base)","Discount (Base)"
"Discount (Purchased)","Discount (Purchased)"
Edited,Edited
Enable,Enable
"Enable ""Delete orders"" option","Enable ""Delete orders"" option"
"Enable ""Delete orders completely"" option","Enable ""Delete orders completely"" option"
"Enable Archive Orders Option","Enable Archive Orders Option"
"Enable Invoice Orders Mass Action","Enable Invoice Orders Mass Action"
"Enable Ship Orders Mass Action","Enable Ship Orders Mass Action"
"Excl. Tax","Excl. Tax"
"Extended Orders","Extended Orders"
Frequency,Frequency
From:,From:
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Gift Message","Gift Message"
"Gift Message for This Order","Gift Message for This Order"
"Grid Columns","Grid Columns"
"Grid Columns (Customer View)","Grid Columns (Customer View)"
"Grid Columns Sort Order","Grid Columns Sort Order"
"Grid Columns Sort Order (Customer View)","Grid Columns Sort Order (Customer View)"
Group,Group
"Hide Deleted Orders for Customers","Hide Deleted Orders for Customers"
"Incl. Tax","Incl. Tax"
"Internal Credit (Base)","Internal Credit (Base)"
"Internal Credit (Purchased)","Internal Credit (Purchased)"
Invoice,Invoice
Invoice+Ship,Invoice+Ship
Invoiced,Invoiced
"Items Ordered","Items Ordered"
Less..,Less..
"MageWorx > Order Management","MageWorx > Order Management"
More..,More..
No,No
"Number of Comments in Grid","Number of Comments in Grid"
"Order #","Order #"
"Order Comment(s)","Order Comment(s)"
"Order Management","Order Management"
"Order Total","Order Total"
Ordered,Ordered
"Payment Method","Payment Method"
"Product Name(s)","Product Name(s)"
"Product Option(s)","Product Option(s)"
"Purchase On","Purchase On"
"Purchased From (Store)","Purchased From (Store)"
"Purchased On","Purchased On"
Qnty,Qnty
Refunded,Refunded
SKU(s),SKU(s)
"Send Invoice Email","Send Invoice Email"
"Send Shipment Email","Send Shipment Email"
Ship,Ship
Shipped,Shipped
"Shipped to Name","Shipped to Name"
"Shipping Amount (Base)","Shipping Amount (Base)"
"Shipping Amount (Purchased)","Shipping Amount (Purchased)"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Telephone","Shipping Telephone"
"Ship to City","Ship to City"
"Ship to Company","Ship to Company"
"Ship to Country","Ship to Country"
"Ship to Name","Ship to Name"
"Ship to State","Ship to State"
"Ship to Street","Ship to Street"
"Show Thumbnails","Show Thumbnails"
"Start Time","Start Time"
Status,Status
"Subtotal (Base)","Subtotal (Base)"
"Subtotal (Purchased)","Subtotal (Purchased)"
"Tax Amount (Base)","Tax Amount (Base)"
"Tax Amount (Purchased)","Tax Amount (Purchased)"
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"Thumbnail Height","Thumbnail Height"
To:,To:
Total,Total
"Total Refunded (Base)","Total Refunded (Base)"
"Total Refunded (Purchased)","Total Refunded (Purchased)"
"Total incl. tax","Total incl. tax"
"Tracking Number","Tracking Number"
"Track your order","Track your order"
"Unable to save Cron expression","Unable to save Cron expression"
"Use Default","Use Default"
"Use Website","Use Website"
Weight,Weight
Yes,Yes
