"The free version of ""%s"" extension does not include this network. Please <a href=""%s"" target=""_blank"">upgrade to Social Login Pro magento extension</a> in order to receive 50+ social login networks.","The free version of ""%s"" extension does not include this network. Please <a href=""%s"" target=""_blank"">upgrade to Social Login Pro magento extension</a> in order to receive 50+ social login networks."

"Customer with email (%s) already exists in the database. If you are sure that it is your email address, please <a href=""%s"">click here</a> to retrieve your password and access your account.","Customer with email (%s) already exists in the database. If you are sure that it is your email address, please <a href=""%s"">click here</a> to retrieve your password and access your account."
"Customer registration successful. Your password was send to the email: %s","Customer registration successful. Your password was send to the email: %s"
"Customer registration successful.","Customer registration successful."
"The Date of Birth is incorrect.","The Date of Birth is incorrect."
"Visible Buttons","Visible Buttons"
"Hidden Buttons","Hidden Buttons"
"Login with your social account","Login with your social account"
"Register with your social account","Register with your social account"
"show more","show more"
"Your account needs to be updated. The email address in your profile is invalid. Please indicate your valid email address by going to the <a href=""%s"">Account edit page</a>","Your account needs to be updated. The email address in your profile is invalid. Please indicate your valid email address by going to the <a href=""%s"">Account edit page</a>"
