"Enabled","Enabled"
"Disabled","Disabled"
"Newsletter Users Groups","Newsletter Users Groups"
"Thank you for your subscription","Thank you for your subscription"
"Item does not exist","Item does not exist"
"Group was successfully created/edited","Group was successfully created/edited"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Newsletter Groups","Newsletter Groups"
"Add Group","Add Group"
"Title","Title"
"Creation Time","Creation Time"
"Action","Action"
"Edit","Edit"
"Are you sure?","Are you sure?"
"Delete","Delete"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Edit Item '%s'","Edit Item '%s'"
"Add Item","Add Item"
"Item Information","Item Information"
"Group Information","Group Information"
"Subscribers in Group","Subscribers in Group"
"Add Subscribers to Group","Add Subscribers to Group"
"Visibility on Frontend","Visibility on Frontend"
"Add Subscribers emails","Add Subscribers emails"
"Template for Subscribers Group","Template for Subscribers Group"
"Selected Subscribers will be deleted from Group after save","Selected Subscribers will be deleted from Group after save"
