"Print Orders","Print Orders"
"Print Invoices","Print Invoices"
"Print Packingslips","Print Packingslips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Order","Print Order"
"Print Invoice","Print Invoice"
"Print Packingslip","Print Packingslip"
"Print Credit Memo","Print Credit Memo"
"General","General"
"Enable Easy PDF Module","Enable Easy PDF Module"
"API Key","API Key"
"Remove the default print functions","Remove the default print functions"
"Replace the default print functions of magento by Easy PDF","Replace the default print functions of magento by Easy PDF"
"Print orders from backend","Print orders from backend"
"Customer can print PDFs","Customer can print PDF"
"If yes, customer will be able to use Easy PDF","If yes, customer will be able to use Easy PDF"
"Attach the PDF Order to New Order Email","Attach the PDF Order to New Order Email"
"This option will make your checkout a bit of slower for generating the PDF file","This option will make your checkout a bit of slower for generating the PDF file"
"Attach the PDF Invoice to Invoice Email","Attach the PDF Invoice to Invoice Email"



