"Print Orders","In Các Đơn Đặt Hàng"
"Print Invoices","In Các Hóa Đơn"
"Print Packingslips","Print Packingslips"
"Print Credit Memos","Print Credit Memos"
"Print All","In Tất Cả"
"Print Order","In Đơn Đặt Hàng"
"Print Invoice","In Hóa Đơn"
"Print Packingslip","Print Packingslip"
"Print Credit Memo","Print Credit Memo"
"General","General"
"Enable Module","Kích Hoạt Module Easy PDF"
"API Key","API Key"
"Remove the default print functions","Loại bỏ các chức năng in ấn mặc định"
"Replace the default print functions of magento by Easy PDF","Thay thế chức năng in ấn mặc định của magento bởi Easy PDF"
"Print orders from backend","In hóa đơn từ trang quản trị"
"Customer can print PDFs","Khách hàng có thể in các bản PDF"
"If yes, customer will be able to use Easy PDF","Nếu có, khách hàng có thể in đơn hàng, hóa đơn, ... sử dụng Easy PDF"
"Attach the PDF Order to New Order Email","Đính kèm đơn hàng (bản PDF) vào email gửi cho khách hàng"
"This option will make your checkout a bit of slower for generating the PDF file","Lựa chọn này sẽ làm cho quá trình thanh toán của bạn bị chậm một chút do việc xử lý file PDF"
"Attach the PDF Invoice to Invoice Email","Đính kèm hóa đơn (bản PDF) vào email gửi cho khách hàng"
